protein,breast_MDAMB231,colon_HCT116,ewingsarcoma_CHLA10,ewingsarcoma_TC32,melanoma_A375,melanoma_HS895T,melanoma_SH4,ovary_patientsample,prostate_PC3
Q15651,0,0,1,1,0,0,0,1,0
Q15654,0,1,1,0,0,0,0,1,0
Q16401,0,1,0,1,0,0,0,1,0
Q2TAY7,0,1,0,1,0,0,0,1,0
Q4AC94,0,0,1,0,0,0,1,1,0
Q4G0P3,0,0,1,1,0,0,0,1,0
Q52LJ0,0,1,0,1,0,0,0,1,0
Q53GS9,0,1,0,1,0,0,0,1,0
Q5BKZ1,0,1,0,1,0,0,0,1,0
Q5T200,0,0,1,0,0,0,0,1,1
Q5T8P6,0,1,1,0,0,0,0,1,0
Q5TDH0,0,0,0,1,0,0,1,1,0
Q63HN8,0,0,1,0,0,0,0,1,1
Q68CQ4,0,1,0,1,0,0,0,1,0
Q6P2Q9,0,1,0,1,0,0,0,1,0
Q6PIJ6,0,0,1,1,0,0,0,1,0
Q6UB99,0,1,1,0,0,0,0,1,0
Q6Y7W6,0,0,0,0,1,1,0,1,0
Q6ZMW3,0,0,1,0,0,1,0,1,0
Q70CQ2,1,0,1,0,0,0,0,1,0
Q711Q0,1,0,0,0,0,1,0,1,0
Q76FK4,0,0,1,1,0,0,0,1,0
Q76N89,0,1,0,0,0,0,1,1,0
Q7L1Q6,0,1,1,0,0,0,0,1,0
Q7L5N1,0,1,0,1,0,0,0,1,0
Q7Z460,0,0,0,1,1,0,1,0,0
Q7Z739,0,1,0,1,0,0,0,1,0
Q86U42,0,0,1,1,0,0,0,1,0
Q86U86,0,0,1,1,0,0,0,1,0
Q86UW6,0,0,1,1,0,0,0,1,0
Q86VF2,0,0,1,0,0,1,0,1,0
Q86XP3,0,1,0,1,0,0,0,1,0
Q8IVF4,0,0,1,1,0,0,0,1,0
Q8IVM0,1,0,0,0,0,1,1,0,0
Q8IWC1,0,0,1,1,0,0,0,1,0
Q8IWX8,0,1,0,1,0,0,0,1,0
Q8IX12,1,1,0,1,0,0,0,0,0
Q8IXM2,0,0,1,1,0,0,0,1,0
Q8IYB3,0,0,0,1,0,0,0,1,1
Q8IZT6,0,0,1,1,0,0,0,1,0
Q8N3U4,0,1,0,1,0,0,0,1,0
Q8NA47,0,0,1,1,0,0,0,1,0
Q8ND04,0,0,1,0,1,0,1,0,0
Q8NEV4,0,0,1,1,0,0,0,1,0
